description,evaluate,introduce,movie_name,serial_number,start
往事如烟，无处祭奠。,211796人评价,1984/意大利美国/犯罪剧情,美国往事,59,9.0
奔跑的孩子是天使。,177686人评价,1997/伊朗/剧情家庭儿童,小鞋子,60,9.0
警察抓小偷，老鼠玩死猫。,513109人评价,1995/美国/剧情犯罪悬疑惊悚,七宗罪,61,9.0
以戏谑来戏谑戏谑。,368906人评价,2006/日本/剧情歌舞,被嫌弃的松子的一生,62,9.0
孪生蝙蝠侠大战克隆金刚狼。,419095人评价,2006/美国英国/剧情悬疑惊悚,致命魔术,63,9.0
在时间之河里感受溺水之苦。,477384人评价,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,64,9.0
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,238970人评价,1987/英国意大利中国大陆法国美国/剧情传记历史,末代皇帝,65,9.0
美丽无罪。,444129人评价,2000/意大利美国/剧情战争情色,西西里的美丽传说,66,9.0
法式小清新。 ,571615人评价,2001/法国德国/喜剧爱情,天使爱美丽,67,9.0
视觉革命。,351520人评价,1999/美国澳大利亚/动作科幻,黑客帝国,68,9.0
你给我翻译翻译，神马叫做TMD的惊喜。,777231人评价,2010/中国大陆香港/剧情喜剧动作西部,让子弹飞,69,9.0
美利坚精神输出大片No1.,300203人评价,1998/美国/剧情历史战争,拯救大兵瑞恩,70,9.0
你以为你以为的就是你以为的。,470783人评价,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,71,9.0
用音乐化解仇恨，让歌声串起美好。,280499人评价,1965/美国/剧情传记爱情歌舞,音乐之声,72,9.0
故事的高级讲法。,410696人评价,1994/美国/剧情喜剧犯罪,低俗小说,73,9.0
史诗大片的典范。,342910人评价,1995/美国/动作传记剧情历史战争,勇敢的心,74,9.0
浪漫忧郁的成人童话。,580274人评价,1990/美国/剧情奇幻爱情,剪刀手爱德华,75,9.0
经典之作，历久弥新。,136214人评价,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,76,9.3
安东尼·霍普金斯的顶级表演。,419651人评价,1991/美国/剧情犯罪惊悚,沉默的羔羊,77,9.3
人的命运被自己瞬间的抉择改变。,460754人评价,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,78,9.3
童话世界的开端。,348663人评价,2001/美国英国/奇幻冒险,哈利·波特与魔法石,79,9.3
爱情纠缠，男女一致。,302796人评价,1997/香港日本韩国/剧情爱情同性,春光乍泄,80,9.3
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,361373人评价,2008/日本/剧情,入殓师,81,9.3
人生中应该拥有这样的一段豁然开朗。,334413人评价,1997/美国/剧情,心灵捕手,82,9.3
骗子大师和执著警探的你追我跑故事。 ,301722人评价,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,83,9.3
小清新的故事里注入了大历史的情怀。,401278人评价,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,84,9.3
昔日翩翩少年，今日大腹便便。,441595人评价,2010/美国/剧情悬疑惊悚,禁闭岛,85,9.3
你是我最好的朋友，你是我唯一的朋友 。,262246人评价,2009/澳大利亚/剧情动画,玛丽和马克思,86,9.3
一场华丽的意淫。,327793人评价,1994/中国大陆香港/剧情,阳光灿烂的日子,87,9.3
深入内心的恐怖，出人意料的结局。,280397人评价,1999/美国/剧情悬疑惊悚,第六感,88,9.3
人与自然的战争史诗。,280333人评价,1997/日本/动画奇幻冒险,幽灵公主,89,9.3
寂寞没有期限。,399621人评价,1994/香港/剧情爱情,重庆森林,90,9.3
人言可畏。,165351人评价,2012/丹麦瑞典/剧情,狩猎,91,9.3
最不可能的那个人永远是最可能的。,385558人评价,2003/美国/剧情悬疑惊悚,致命ID,92,9.3
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,194179人评价,2008/英国美国/剧情战争,穿条纹睡衣的男孩,93,9.3
每个人心中都有一座断背山。,383632人评价,2005/美国加拿大/剧情爱情同性家庭,断背山,94,9.3
约翰尼·德普的独角戏。,425084人评价,2003/美国/动作冒险奇幻,加勒比海盗,95,9.3
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,299859人评价,2003/美国/剧情家庭奇幻冒险,大鱼,96,9.3
绝对意义上的美轮美奂。,638220人评价,2009/美国英国/动作战争科幻冒险,阿凡达,97,9.3
大时代中的人生，小人物的悲喜。,114940人评价,1936/美国/喜剧剧情爱情,摩登时代,98,9.3
没有一人完全善，也没有一人完全恶。,405968人评价,2010/日本/剧情惊悚,告白,99,9.3
我们都曾经是一一。,183140人评价,2000/台湾日本/剧情爱情家庭,一一,100,9.3
百看不厌。 ,326427人评价,1993/香港/喜剧古装,射雕英雄传之东成西就,101,8.7
相逢只要一瞬间，等待却像是一辈子。,268867人评价,1996/香港/剧情爱情,甜蜜蜜,102,8.7
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,321939人评价,2011/韩国/剧情喜剧,阳光姐妹淘,103,8.7
年度最佳date movie。,434952人评价,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,104,8.7
缘分是个连绵词，最美不过一瞬。,268187人评价,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,105,8.7
被上帝抛弃了的上帝之城。,178742人评价,2002/巴西法国/犯罪剧情,上帝之城,106,8.7
那些静得只能听见呼吸的日子里，你明白孤独即生活。,174900人评价,2014/日本/剧情,小森林 夏秋篇,107,8.7
少女情怀总是诗。,207822人评价,1995/日本/剧情爱情动画,侧耳倾听,108,8.7
我是一个演员。,392578人评价,1999/香港/喜剧剧情爱情,喜剧之王,109,8.7
两张绝世的脸。 ,320323人评价,1987/香港/剧情爱情武侠古装,倩女幽魂,110,8.7
恐怖分子的“秋菊打官司”。,281796人评价,2013/韩国/剧情犯罪悬疑,恐怖直播,111,8.7
动画片的圣经。,207674人评价,1984/日本/动画奇幻冒险,风之谷,112,8.7
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,236958人评价,2004/美国/剧情爱情,爱在日落黄昏时,113,8.7
穷尽一生，我们要学会的，不过是彼此拥抱。,213426人评价,2011/美国/剧情,超脱,114,8.7
梦的勾结。,167179人评价,2006/日本/动画悬疑科幻惊悚,红辣椒,115,8.7
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,228351人评价,1999/日本/剧情喜剧,菊次郎的夏天,116,8.7
和谐的生活离不开摸头与被摸头。,345492人评价,2010/美国/喜剧动画奇幻冒险,驯龙高手,117,8.7
有时候幸福需要等一等。 ,264997人评价,2004/美国/喜剧剧情爱情,幸福终点站,118,8.7
Mr. I Don't Care其实也有Care的时候。,464825人评价,2010/美国法国/喜剧动画冒险,神偷奶爸,119,8.7
曾经的那段美好会沉淀为一辈子的记忆。,256293人评价,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,120,8.7
关于连环杀人悬案的集体回忆。,247938人评价,2003/韩国/犯罪剧情悬疑惊悚,杀人回忆,121,8.7
时代悲歌。,92862人评价,1954/日本/动作冒险剧情,七武士,122,8.7
岁月流逝，来日可追。,349836人评价,2010/香港中国大陆/剧情家庭,岁月神偷,123,8.7
沉醉在电影的情感和视听氛围中无法自拔。,235407人评价,2017/意大利法国巴西美国/剧情爱情同性,请以你的名字呼唤我,124,8.7
幸福是生生不息，却难以触及的远。 ,236175人评价,1988/日本/动画剧情战争,萤火虫之墓,125,8.7
不要给它起名字，起了名字就有感情了。,296164人评价,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,126,8.6
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,151408人评价,2015/日本/剧情,小森林 冬春篇,127,8.6
10年的完美句点。,331601人评价,2011/美国英国/剧情悬疑奇幻冒险,哈利·波特与死亡圣器(下),128,8.6
像吃了苏打饼一样干脆的电影。,214356人评价,2007/美国德国/动作悬疑惊悚,谍影重重3,129,8.6
中国家庭的喜怒哀乐忍。,165896人评价,1993/台湾美国/剧情喜剧爱情同性家庭,喜宴,130,8.6
电影诗。,301956人评价,1994/香港台湾/剧情动作爱情武侠古装,东邪西毒,131,8.6
真相就在眼前。,232241人评价,2004/美国/悬疑惊悚恐怖,电锯惊魂,132,8.6
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,443872人评价,2008/英国美国/剧情爱情,贫民窟的百万富翁,133,8.6
老少皆宜，这就是好莱坞动画的魅力。,434582人评价,2013/美国/喜剧动画冒险,疯狂原始人,134,8.6
一个针管引发的血案。,324786人评价,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,135,8.6
《我是山姆》的《美丽人生》。,217438人评价,2013/韩国/剧情喜剧家庭,7号房的礼物,136,8.6
黑暗之美。,480938人评价,2010/美国/剧情惊悚,黑天鹅,137,8.6
触不到的恋人。,200389人评价,2011/日本/剧情爱情动画奇幻,萤火之森,138,8.6
爱，是个动词。,359365人评价,2003/英国美国法国/喜剧剧情爱情,真爱至上,139,8.6
英雄泪短，兄弟情长。 ,214845人评价,1986/香港/动作犯罪,英雄本色,140,8.6
Balalala~~~,453205人评价,2014/美国/喜剧动作科幻动画冒险,超能陆战队,141,8.6
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,235281人评价,1988/美国/剧情,雨人,142,8.6
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,223576人评价,2014/中国大陆/剧情犯罪悬疑,心迷宫,143,8.6
诺兰就是保证。,345929人评价,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,144,8.6
当这个世界闭上双眼，他却敞开了怀抱。,141355人评价,2004/英国南非意大利美国/剧情历史战争,卢旺达饭店,145,8.6
华太师是黄霑，吴镇宇四大才子之一。,417209人评价,1993/香港/喜剧爱情古装,唐伯虎点秋香,146,8.6
大海啊，不全是水。,107352人评价,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,147,8.6
爱是摈弃傲慢与偏见之后的曙光。,359700人评价,2005/法国英国美国/剧情爱情,傲慢与偏见,148,8.6
始于荒诞，止于更荒诞。,179141人评价,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,149,8.6
香港浪漫主义警匪动作片的巅峰之作。,182067人评价,1991/香港/剧情喜剧动作犯罪,纵横四海,150,8.6
我们都有权利不与自己的过去和解。,245380人评价,2016/美国/剧情家庭,海边的曼彻斯特,151,8.6
任何信念的力量，都无法改变命运。,157112人评价,1990/美国/剧情犯罪,教父3,152,8.6
永远看不腻的喜剧。,122153人评价,1966/法国英国/喜剧战争,虎口脱险,153,8.6
我的平常生活就是他人的幸福。,92974人评价,2004/日本/剧情,无人知晓,154,8.6
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,246672人评价,2013/英国/剧情爱情奇幻,时空恋旅人,155,8.6
坏人的好总是比好人的好来得更感人。,98438人评价,1993/美国/剧情犯罪,完美的世界,156,8.6
,594907人评价,2017/美国/喜剧动画奇幻音乐,寻梦环游记,157,8.6
跨度十五年的欢乐与泪水。,225128人评价,2010/美国/喜剧动画奇幻冒险,玩具总动员3,158,8.6
传奇，不是每个人都可以拥有。,165542人评价,1994/美国/剧情爱情西部家庭,燃情岁月,159,8.6
偷情本没有这样美。,288262人评价,2000/香港/剧情爱情,花样年华,160,8.6
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,331878人评价,2004/美国/剧情爱情,恋恋笔记本,161,8.6
Jared Leto的腿比女人还美！,222045人评价,2013/美国/剧情传记同性,达拉斯买家俱乐部,162,8.6
